
epoch   2, step:  270, loss: 1.3516, acc: 0.4766
epoch   2, step:  280, loss: 1.0927, acc: 0.6016
epoch   2, step:  290, loss: 1.1267, acc: 0.5859
epoch   2, step:  300, loss: 0.9310, acc: 0.6875
epoch   2, step:  310, loss: 1.3438, acc: 0.5312
epoch   2, step:  320, loss: 1.0939, acc: 0.6094
epoch   2, step:  330, loss: 1.2218, acc: 0.5703
epoch   2, step:  340, loss: 0.9781, acc: 0.6484
epoch   2, step:  350, loss: 0.9409, acc: 0.6562
epoch   2, step:  360, loss: 1.0482, acc: 0.5859
epoch   2, step:  370, loss: 1.0241, acc: 0.6406
epoch   2, step:  380, loss: 1.1652, acc: 0.5859
epoch   2, step:  390, loss: 1.1487, acc: 0.5750
epoch   2, step:  390 - 31.56s, acc: 0.5885, asr: 0.9990

epoch   3, step:    0, loss: 1.1321, acc: 0.6172
epoch   3, step:   10, loss: 1.0268, acc: 0.6562
epoch   3, step:   20, loss: 1.0524, acc: 0.6172
epoch   3, step:   30, loss: 1.0295, acc: 0.6250
epoch   3, step:   40, loss: 1.0944, acc: 0.5859
epoch   3, step:   50, loss: 0.9935, acc: 0.6875
epoch   3, step:   60, loss: 0.9988, acc: 0.6016
epoch   3, step:   70, loss: 0.8243, acc: 0.7031
epoch   3, step:   80, loss: 0.9241, acc: 0.6797
epoch   3, step:   90, loss: 1.0619, acc: 0.6484
epoch   3, step:  100, loss: 1.1553, acc: 0.5781
epoch   3, step:  110, loss: 0.9763, acc: 0.6641
epoch   3, step:  120, loss: 0.8790, acc: 0.7188
epoch   3, step:  130, loss: 1.1416, acc: 0.5938
epoch   3, step:  140, loss: 0.9131, acc: 0.7188
epoch   3, step:  150, loss: 0.8972, acc: 0.7266
epoch   3, step:  160, loss: 0.6262, acc: 0.7891
epoch   3, step:  170, loss: 0.9838, acc: 0.6641
epoch   3, step:  180, loss: 1.1588, acc: 0.6094
epoch   3, step:  190, loss: 0.9630, acc: 0.7031
epoch   3, step:  200, loss: 0.7513, acc: 0.7109
epoch   3, step:  210, loss: 1.0699, acc: 0.6328
epoch   3, step:  220, loss: 1.1244, acc: 0.6406
epoch   3, step:  230, loss: 0.9408, acc: 0.6406
epoch   3, step:  240, loss: 0.8906, acc: 0.6797
epoch   3, step:  250, loss: 0.8041, acc: 0.7344
epoch   3, step:  260, loss: 0.9011, acc: 0.7188
epoch   3, step:  270, loss: 0.9238, acc: 0.6406
epoch   3, step:  280, loss: 0.9002, acc: 0.7109
epoch   3, step:  290, loss: 0.8542, acc: 0.6953
epoch   3, step:  300, loss: 0.8416, acc: 0.7031
epoch   3, step:  310, loss: 0.8831, acc: 0.6797
epoch   3, step:  320, loss: 0.8665, acc: 0.7031
epoch   3, step:  330, loss: 0.8877, acc: 0.7500
epoch   3, step:  340, loss: 0.9681, acc: 0.6562
epoch   3, step:  350, loss: 0.8673, acc: 0.7031
epoch   3, step:  360, loss: 0.8383, acc: 0.6484
epoch   3, step:  370, loss: 0.9365, acc: 0.6641
epoch   3, step:  380, loss: 0.9821, acc: 0.6719
epoch   3, step:  390, loss: 1.0229, acc: 0.6625
epoch   3, step:  390 - 26.01s, acc: 0.6384, asr: 0.9057

epoch   4, step:    0, loss: 0.9328, acc: 0.6250
epoch   4, step:   10, loss: 0.9653, acc: 0.6562
epoch   4, step:   20, loss: 0.8834, acc: 0.6875
epoch   4, step:   30, loss: 0.8945, acc: 0.6641
epoch   4, step:   40, loss: 0.9409, acc: 0.6641
epoch   4, step:   50, loss: 0.8550, acc: 0.6797
epoch   4, step:   60, loss: 0.8179, acc: 0.6953
epoch   4, step:   70, loss: 0.7463, acc: 0.7031
epoch   4, step:   80, loss: 0.8529, acc: 0.7031
epoch   4, step:   90, loss: 0.6640, acc: 0.7734
epoch   4, step:  100, loss: 0.6811, acc: 0.7734
epoch   4, step:  110, loss: 1.0380, acc: 0.6484
epoch   4, step:  120, loss: 0.7140, acc: 0.7656
epoch   4, step:  130, loss: 0.7466, acc: 0.7266
epoch   4, step:  140, loss: 0.8095, acc: 0.7344
epoch   4, step:  150, loss: 0.8542, acc: 0.6875
epoch   4, step:  160, loss: 0.6928, acc: 0.7656
epoch   4, step:  170, loss: 0.8263, acc: 0.7344
epoch   4, step:  180, loss: 0.7840, acc: 0.7578
epoch   4, step:  190, loss: 0.7986, acc: 0.7266
epoch   4, step:  200, loss: 0.8109, acc: 0.7734
epoch   4, step:  210, loss: 0.7556, acc: 0.7344
epoch   4, step:  220, loss: 0.6925, acc: 0.7734
epoch   4, step:  230, loss: 0.8294, acc: 0.6953
epoch   4, step:  240, loss: 0.7117, acc: 0.7812
epoch   4, step:  250, loss: 0.8027, acc: 0.6953
epoch   4, step:  260, loss: 0.7535, acc: 0.7422
epoch   4, step:  270, loss: 0.8616, acc: 0.6953
epoch   4, step:  280, loss: 0.7779, acc: 0.7266
epoch   4, step:  290, loss: 0.8425, acc: 0.6797
epoch   4, step:  300, loss: 0.8062, acc: 0.7188
epoch   4, step:  310, loss: 0.9008, acc: 0.6953
epoch   4, step:  320, loss: 0.5978, acc: 0.7734
epoch   4, step:  330, loss: 0.8202, acc: 0.7188
epoch   4, step:  340, loss: 0.8532, acc: 0.6719
epoch   4, step:  350, loss: 0.6466, acc: 0.7188
epoch   4, step:  360, loss: 0.5519, acc: 0.8281
epoch   4, step:  370, loss: 0.8025, acc: 0.7188
epoch   4, step:  380, loss: 0.7134, acc: 0.7266
epoch   4, step:  390, loss: 0.7327, acc: 0.7625
epoch   4, step:  390 - 26.25s, acc: 0.6335, asr: 0.9367

epoch   5, step:    0, loss: 0.6937, acc: 0.7969
epoch   5, step:   10, loss: 0.7666, acc: 0.7266
epoch   5, step:   20, loss: 0.7297, acc: 0.7344
epoch   5, step:   30, loss: 0.7326, acc: 0.7891
epoch   5, step:   40, loss: 0.7255, acc: 0.7031
epoch   5, step:   50, loss: 0.7383, acc: 0.7344
epoch   5, step:   60, loss: 0.8201, acc: 0.7109
epoch   5, step:   70, loss: 0.5514, acc: 0.8281
epoch   5, step:   80, loss: 0.9212, acc: 0.6797
epoch   5, step:   90, loss: 0.6546, acc: 0.7734
epoch   5, step:  100, loss: 0.6403, acc: 0.7266
epoch   5, step:  110, loss: 0.9838, acc: 0.6641
epoch   5, step:  120, loss: 0.6952, acc: 0.7656
epoch   5, step:  130, loss: 0.6434, acc: 0.7969
epoch   5, step:  140, loss: 0.7117, acc: 0.7422
epoch   5, step:  150, loss: 0.5895, acc: 0.7969
epoch   5, step:  160, loss: 0.5553, acc: 0.8047
epoch   5, step:  170, loss: 0.6958, acc: 0.7656
epoch   5, step:  180, loss: 0.5505, acc: 0.8047
epoch   5, step:  190, loss: 0.5839, acc: 0.7578
epoch   5, step:  200, loss: 0.5037, acc: 0.8047
epoch   5, step:  210, loss: 0.6496, acc: 0.7812
epoch   5, step:  220, loss: 0.7129, acc: 0.7422
epoch   5, step:  230, loss: 0.5681, acc: 0.8203
epoch   5, step:  240, loss: 0.5469, acc: 0.8359
epoch   5, step:  250, loss: 0.6926, acc: 0.7578
epoch   5, step:  260, loss: 0.5425, acc: 0.7969
epoch   5, step:  270, loss: 0.5586, acc: 0.8203
epoch   5, step:  280, loss: 0.6424, acc: 0.7656
epoch   5, step:  290, loss: 0.4494, acc: 0.8594
epoch   5, step:  300, loss: 0.6709, acc: 0.7578
epoch   5, step:  310, loss: 0.6279, acc: 0.7734
epoch   5, step:  320, loss: 0.5104, acc: 0.8438
epoch   5, step:  330, loss: 0.6357, acc: 0.7734
epoch   5, step:  340, loss: 0.5917, acc: 0.7891
epoch   5, step:  350, loss: 0.5224, acc: 0.7891
epoch   5, step:  360, loss: 0.6978, acc: 0.7734
epoch   5, step:  370, loss: 0.7314, acc: 0.7266
epoch   5, step:  380, loss: 0.7115, acc: 0.7109
epoch   5, step:  390, loss: 0.6814, acc: 0.7750
epoch   5, step:  390 - 26.22s, acc: 0.6379, asr: 0.9931

epoch   6, step:    0, loss: 0.6844, acc: 0.7188
epoch   6, step:   10, loss: 0.6927, acc: 0.7969
epoch   6, step:   20, loss: 0.5998, acc: 0.7578
epoch   6, step:   30, loss: 0.7063, acc: 0.7656
epoch   6, step:   40, loss: 0.6291, acc: 0.7656
epoch   6, step:   50, loss: 0.6798, acc: 0.7812
